Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[64L, 142L, 176L, 212L, 280L, 335L]",0.62,MLR,0.23,0.02,-0.78,-0.75
"[59L, 129L, 139L, 199L, 249L, 337L, 380L]",0.69,MLR,0.22,-0.75,0.1,0.0
"[225L, 237L, 311L, 384L]",0.53,MLR,0.02,-0.17,0.01,-0.03
"[61L, 127L, 132L, 137L, 145L, 215L, 305L, 373L]",0.57,MLR,0.24,-0.1,-0.29,-0.38
"[84L, 122L, 126L, 194L, 284L, 300L, 326L, 360L]",0.54,MLR,0.24,-0.08,-0.16,0.01
"[73L, 180L, 188L, 305L, 345L, 383L]",0.71,MLR,0.22,-0.02,-1.23,-1.08
"[33L, 63L, 205L, 234L, 235L]",0.54,MLR,0.14,-0.2,0.03,0.02
"[18L, 69L, 99L, 199L, 201L, 336L, 358L]",0.58,MLR,0.41,0.0,-0.56,0.14
"[36L, 90L, 103L, 131L, 200L, 334L]",0.55,MLR,0.11,-0.17,-0.09,-0.02
"[23L, 76L, 86L, 240L, 362L]",0.54,MLR,0.06,-0.15,-0.06,-0.02
"[30L, 84L, 106L, 168L, 192L, 200L]",0.58,MLR,0.21,-0.06,-0.46,-0.47
"[84L, 112L, 135L, 211L, 239L, 350L, 352L]",0.53,MLR,0.14,-0.17,0.01,-0.22
"[49L, 57L, 349L]",0.53,MLR,0.01,-0.19,0.04,-0.01
"[69L, 93L, 152L, 209L, 257L, 340L]",0.51,MLR,0.42,0.23,-0.55,-0.11
"[51L, 100L, 229L, 239L, 280L]",0.66,MLR,0.13,-0.05,-0.88,-0.92
"[232L, 277L, 316L, 336L]",0.54,MLR,0.08,-0.12,-0.1,-0.26
"[32L, 47L, 78L, 91L, 101L, 110L, 115L, 126L, 137L, 192L, 265L, 284L, 289L]",1.07,MLR,0.16,-1.14,-1.36,-1.16
"[38L, 152L, 193L, 216L, 240L, 244L, 292L, 300L]",0.48,MLR,0.34,0.07,-0.1,-0.18
"[163L, 178L, 230L, 266L, 292L, 305L]",0.48,MLR,0.13,-0.12,0.21,0.06
"[83L, 119L, 314L]",0.53,MLR,0.12,-0.01,-0.25,-0.2
"[49L, 76L, 129L, 221L]",0.55,MLR,0.06,-0.15,-0.15,-0.17
"[102L, 143L, 157L, 382L]",0.56,MLR,0.1,-0.32,0.11,0.22
"[41L, 150L, 232L, 303L, 312L]",0.47,MLR,0.15,-0.07,0.18,-0.2
"[38L, 247L, 370L]",0.51,MLR,0.05,-0.11,0.02,0.08
"[1L, 197L, 224L, 272L, 362L]",0.62,MLR,0.15,-0.08,-0.61,-0.77
"[2L, 80L, 219L, 361L]",0.54,MLR,0.04,-0.19,-0.03,-0.06
"[23L, 82L, 97L, 191L, 262L, 287L, 306L, 372L]",0.43,MLR,0.45,0.07,0.2,-0.9
"[156L, 249L, 370L]",0.47,MLR,0.26,0.12,-0.14,0.06
"[117L, 215L, 228L, 276L, 339L]",0.52,MLR,0.09,-0.19,0.08,-0.35
"[98L, 245L, 334L, 339L]",0.54,MLR,0.01,-0.29,0.17,0.06
"[34L, 51L, 58L, 183L]",0.64,MLR,0.15,-0.26,-0.46,-1.01
"[46L, 109L, 133L, 192L]",0.62,MLR,0.07,-0.15,-0.54,-0.65
"[199L, 219L, 230L, 242L, 281L]",0.86,MLR,0.17,-0.87,-0.63,-0.04
"[67L, 232L, 379L, 383L]",0.45,MLR,0.11,-0.05,0.28,-0.09
"[33L, 96L, 169L, 204L, 274L, 301L, 369L, 373L]",0.71,MLR,0.36,-0.03,-1.21,-1.52
"[87L, 89L, 105L, 292L, 341L]",0.64,MLR,0.11,-0.24,-0.47,-0.71
"[134L, 152L, 172L, 321L, 347L, 357L]",0.48,MLR,0.26,0.02,-0.01,-0.31
"[11L, 32L, 93L, 116L, 134L, 156L, 181L, 255L, 325L, 361L]",0.71,MLR,0.46,0.05,-1.38,-1.32
