Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[6L, 14L, 144L, 162L, 182L, 246L, 344L]",0.79,MLR,0.13,-0.15,-1.43,-1.37
"[54L, 101L, 143L, 352L]",0.6,MLR,0.09,-0.17,-0.34,-0.38
"[98L, 126L, 196L, 272L, 334L]",0.61,MLR,0.04,-0.41,-0.02,-0.3
"[118L, 276L, 296L]",0.53,MLR,0.06,-0.13,-0.06,-0.34
"[90L, 133L, 140L, 249L, 333L]",0.66,MLR,0.15,-0.52,-0.14,-0.24
"[69L, 103L, 168L, 257L, 350L, 362L, 373L]",0.59,MLR,0.33,0.05,-0.7,-0.61
"[80L, 95L, 158L]",0.49,MLR,0.02,-0.14,0.18,0.08
"[52L, 82L, 97L, 241L, 318L]",0.78,MLR,0.11,-0.96,-0.02,-0.28
"[93L, 163L, 248L, 321L]",0.49,MLR,0.15,-0.04,0.03,0.29
"[8L, 128L, 158L, 316L, 344L]",0.66,MLR,0.02,-0.21,-0.65,-0.88
"[6L, 131L, 235L, 294L, 341L]",0.58,MLR,0.12,-0.11,-0.35,-0.18
"[70L, 75L, 87L, 156L, 265L, 354L]",0.52,MLR,0.23,-0.06,-0.09,0.03
"[109L, 141L, 171L, 196L, 329L]",0.43,MLR,0.32,0.17,0.03,0.35
"[103L, 151L, 163L, 278L, 332L, 340L]",0.67,MLR,0.12,-0.42,-0.32,-0.69
"[1L, 3L, 57L, 153L, 235L, 290L, 302L, 326L]",0.51,MLR,0.1,-0.25,0.24,-0.01
"[45L, 110L, 253L, 256L, 264L]",0.62,MLR,0.26,-0.27,-0.28,-0.49
"[32L, 52L, 73L, 87L, 142L, 368L]",0.61,MLR,0.25,-0.01,-0.7,-0.63
"[5L, 20L, 175L, 306L, 380L]",0.63,MLR,0.19,-0.05,-0.73,-0.95
"[10L, 44L, 159L, 298L, 356L, 375L]",0.53,MLR,0.21,-0.01,-0.23,-0.21
"[157L, 175L, 182L, 187L, 262L, 278L, 302L, 346L]",0.62,MLR,0.35,-0.55,0.19,-0.03
"[24L, 67L, 93L, 228L]",0.55,MLR,0.06,-0.13,-0.17,-0.17
"[50L, 102L, 126L, 174L, 250L, 270L, 326L]",0.5,MLR,0.45,0.21,-0.43,-0.03
"[67L, 105L, 137L, 319L]",0.49,MLR,0.18,0.06,-0.14,-0.02
"[32L, 66L, 217L, 271L, 296L]",0.65,MLR,0.22,-0.3,-0.43,-0.09
"[84L, 106L, 181L, 256L, 295L, 330L]",0.53,MLR,0.22,-0.05,-0.16,-0.49
"[1L, 19L, 25L, 184L, 196L, 227L, 239L, 253L, 262L, 337L]",0.62,MLR,0.56,-0.03,-0.73,-1.7
"[27L, 208L, 211L, 256L, 310L, 377L]",0.5,MLR,0.17,-0.16,0.18,0.22
"[72L, 95L, 109L, 231L, 330L]",0.48,MLR,0.07,-0.14,0.24,-0.03
"[4L, 297L, 351L]",0.56,MLR,0.12,-0.04,-0.35,-0.18
"[180L, 196L, 349L, 355L, 375L]",0.52,MLR,0.1,-0.13,0.01,-0.23
"[8L, 35L, 122L, 228L, 384L]",0.68,MLR,0.02,-0.19,-0.8,-1.11
