Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[143L, 197L, 211L, 337L]",0.54,MLR,0.03,-0.19,-0.01,-0.17
"[165L, 293L, 364L, 367L]",0.52,MLR,0.1,-0.1,-0.07,-0.02
"[6L, 28L, 120L, 212L, 314L]",0.62,MLR,0.17,-0.03,-0.72,-0.67
"[215L, 259L, 318L, 349L]",0.57,MLR,0.12,-0.1,-0.3,-0.49
"[77L, 81L, 113L, 161L, 353L]",0.59,MLR,0.06,-0.15,-0.37,-0.34
"[89L, 97L, 129L, 270L]",0.62,MLR,0.19,0.06,-0.89,-1.03
"[61L, 146L, 198L, 252L, 336L]",0.58,MLR,0.22,-0.01,-0.51,-0.53
"[126L, 184L, 291L, 320L]",0.59,MLR,0.13,-0.33,-0.04,-1.03
"[30L, 60L, 166L, 211L, 322L]",0.59,MLR,0.1,-0.19,-0.3,-0.35
"[6L, 41L, 138L, 143L, 202L, 250L, 358L]",0.74,MLR,0.18,-0.18,-1.14,-1.04
"[10L, 303L, 370L]",0.47,MLR,0.12,-0.02,0.08,-0.07
"[31L, 58L, 93L, 164L, 199L, 267L]",0.86,MLR,0.29,-1.29,0.05,0.19
"[126L, 373L, 380L, 382L]",0.53,MLR,0.04,-0.17,0.03,-0.04
"[10L, 22L, 59L, 207L, 257L, 258L]",0.46,MLR,0.19,-0.09,0.25,-0.29
"[54L, 60L, 105L, 154L, 191L, 204L, 380L]",0.65,MLR,0.27,-0.29,-0.42,0.01
"[3L, 139L, 196L]",0.71,MLR,0.1,-0.14,-1.06,-1.09
"[20L, 35L, 138L, 231L, 267L, 286L, 341L, 376L]",0.53,MLR,0.28,-0.07,-0.18,-0.12
"[127L, 155L, 211L, 248L, 301L]",0.53,MLR,0.22,-0.05,-0.18,0.11
"[43L, 271L, 377L]",0.51,MLR,0.06,-0.11,0.06,0.08
"[21L, 192L, 323L]",0.56,MLR,0.04,-0.12,-0.23,-0.22
"[40L, 44L, 46L, 130L, 171L]",0.57,MLR,0.29,-0.06,-0.4,-0.14
"[50L, 362L, 382L]",0.53,MLR,0.03,-0.12,-0.03,-0.12
"[11L, 27L, 179L, 271L, 285L]",0.6,MLR,0.28,0.09,-0.82,-1.97
"[22L, 23L, 30L, 145L]",0.52,MLR,0.05,-0.11,-0.03,0.05
"[41L, 44L, 272L, 280L, 299L]",0.61,MLR,0.12,-0.23,-0.32,-0.56
"[9L, 31L, 76L, 105L, 177L, 200L, 214L, 233L, 244L, 267L, 323L]",0.71,MLR,0.34,-0.1,-1.12,-0.62
"[38L, 80L, 95L, 107L, 160L]",0.45,MLR,0.21,0.05,0.09,0.03
"[14L, 39L, 185L, 229L, 242L, 279L, 308L, 318L]",0.81,MLR,0.27,-0.16,-1.57,-0.45
"[18L, 96L, 170L, 187L, 224L, 360L, 383L]",0.52,MLR,0.49,0.02,-0.24,0.39
"[9L, 37L, 134L, 152L, 166L]",0.49,MLR,0.21,0.06,-0.12,0.06
"[213L, 225L, 333L]",0.55,MLR,0.03,-0.12,-0.15,-0.21
"[33L, 70L, 93L, 147L, 216L, 279L, 301L, 353L]",0.86,MLR,0.14,-0.28,-1.62,-1.52
"[17L, 83L, 152L, 218L, 230L, 254L]",0.52,MLR,0.35,0.14,-0.44,-0.01
"[19L, 48L, 129L, 139L, 284L, 305L]",0.55,MLR,0.22,0.02,-0.43,-0.05
"[2L, 170L, 250L, 273L]",0.46,MLR,0.28,0.04,0.04,0.1
"[31L, 247L, 249L, 296L, 325L, 358L, 370L]",0.74,MLR,0.26,-0.59,-0.43,-0.33
"[46L, 73L, 80L, 81L, 188L, 284L, 318L, 327L, 335L]",0.56,MLR,0.25,-0.1,-0.26,-0.29
"[25L, 183L, 246L, 289L, 314L]",0.56,MLR,0.13,-0.36,0.16,0.17
"[49L, 62L, 153L, 215L, 239L, 265L, 355L]",0.66,MLR,0.16,-0.15,-0.7,-0.61
"[16L, 43L, 63L, 119L, 229L, 268L, 274L, 368L]",0.68,MLR,0.22,-0.21,-0.74,-0.73
"[11L, 116L, 156L, 239L, 251L, 257L]",4.51,MLR,0.3,-0.22,-22.02,-265.86
"[120L, 228L, 285L, 288L, 356L, 364L]",0.97,MLR,0.21,-0.05,-2.64,-1.55
"[2L, 32L, 184L, 205L, 235L]",0.63,MLR,0.25,-0.29,-0.33,0.04
"[1L, 107L, 121L, 125L, 303L, 351L, 362L, 376L]",0.65,MLR,0.25,-0.04,-0.86,-0.65
"[46L, 157L, 164L, 245L, 316L, 319L, 359L]",0.52,MLR,0.3,-0.09,-0.09,0.07
"[82L, 123L, 149L, 211L, 224L, 291L, 299L, 330L, 331L]",0.63,MLR,0.12,-0.27,-0.38,-0.82
"[71L, 82L, 109L, 122L, 130L, 214L, 228L, 281L, 312L]",0.64,MLR,0.24,-0.19,-0.54,0.35
"[45L, 125L, 312L, 323L]",0.56,MLR,0.03,-0.2,-0.07,-0.04
"[128L, 225L, 259L, 295L]",0.54,MLR,0.08,-0.18,-0.04,-0.26
